Branch_Name,Region,Month,Employees,Total_Customers,Product_Type,Revenue,Expenses,Profit,Customer_Satisfaction
Branch_5,East,07-11-2023,102,1269,Loans,2693189.2,3228411.35,-535222.15,81.84
Branch_16,North,29-04-2023,113,4657,Deposits,2046772.92,417931.11,1628841.81,81.84
Branch_15,South,05-08-2023,89,3485,Credit Cards,3464679.19,1568394.55,1896284.64,69.93
Branch_18,East,21-01-2023,24,2212,Investments,1190931.34,3478313.8,-2287382.46,90.39
Branch_17,North,04-01-2024,17,4771,Deposits,4578011.03,3738907.11,839103.92,72.13
Branch_14,South,04-08-2024,115,2445,Deposits,4896734.1,1332323.34,3564410.76,96.9
Branch_4,East,21-05-2024,99,7071,Credit Cards,670136.78,2442351.83,-1772215.05,63.66
Branch_9,North,03-05-2023,71,3090,Investments,989968.72,2872762.71,-1882793.99,79.83
Branch_5,Central,20-08-2023,84,6132,Insurance,1761917.62,2200242.66,-438325.04,63.97
Branch_7,Central,04-10-2023,94,5615,Investments,4325456.3,3832244.43,493211.87,80.37
Branch_1,East,19-10-2023,48,5390,Investments,3536079.84,3219799.97,316279.87,74.72
Branch_16,North,18-06-2024,83,5043,Credit Cards,2315544.8,1681870.75,633674.05,68.27
Branch_3,West,09-04-2023,113,5765,Investments,1017713.61,2604572.81,-1586859.2,86.98
Branch_20,East,10-03-2024,103,2607,Deposits,4487904.1,3094654.64,1393249.46,72.9
Branch_16,East,27-07-2023,30,2764,Loans,3125742.27,3914422.01,-788679.74,92.23
Branch_8,East,18-07-2024,58,2943,Insurance,4102877.73,744269.91,3358607.82,71.57
Branch_10,Central,16-04-2024,45,519,Insurance,3882940.66,3953492.02,-70551.36,68.49
Branch_7,Central,03-06-2023,119,4147,Insurance,1994878.72,973459.69,1021419.03,82.85
Branch_15,South,14-05-2024,70,640,Loans,2391106.8,2428415.49,-37308.69,88.55
Branch_14,West,18-01-2023,74,1815,Credit Cards,3733708.88,1232212.73,2501496.15,63.7
Branch_7,Central,29-11-2023,41,2986,Loans,2085260.12,570667.99,1514592.13,70.74
Branch_18,East,01-02-2024,29,2643,Credit Cards,3971866.46,3146256.74,825609.72,68.9
Branch_2,East,02-12-2023,27,4337,Loans,4045710.77,169935.85,3875774.92,97.79
Branch_16,East,26-02-2023,61,7964,Investments,1328002.54,2894885.89,-1566883.35,74.06
Branch_16,Central,15-04-2024,15,3669,Insurance,3208245.33,3183176.65,25068.68,67.11
Branch_4,West,03-12-2023,15,6417,Loans,4872688.05,1408604.82,3464083.23,76.17
Branch_6,West,27-12-2023,74,4476,Investments,3421413.42,3016102.26,405311.16,79.58
Branch_19,East,16-03-2023,113,7142,Loans,4998547.66,427399.11,4571148.55,60.46
Branch_12,West,01-06-2023,88,1734,Insurance,4128455.93,378665.29,3749790.64,74.01
Branch_2,Central,18-02-2023,108,4589,Insurance,1811606.13,3041319.99,-1229713.86,87.21
Branch_9,North,02-03-2023,62,1021,Credit Cards,4453374.21,3012304.86,1441069.35,77.81
Branch_3,West,30-04-2023,27,1543,Credit Cards,3637651.23,2687116.13,950535.1,73.75
Branch_19,North,12-08-2023,23,5928,Insurance,1249534.51,2054081.74,-804547.23,67.1
Branch_17,South,08-01-2023,43,5470,Insurance,3281216.93,1379165.15,1902051.78,76.9
Branch_8,North,15-06-2023,78,2731,Deposits,3222915.7,2166184.45,1056731.25,94.19
Branch_3,South,07-01-2024,51,3555,Investments,2853430.54,3175168.87,-321738.33,92.36
Branch_7,South,18-02-2024,33,4142,Credit Cards,752373.02,1308521.2,-556148.18,83.05
Branch_16,East,16-06-2024,119,2457,Loans,2908787.83,2124634.19,784153.64,60.81
Branch_15,East,21-11-2023,55,3399,Insurance,2578743.55,674960.15,1903783.4,69.28
Branch_19,North,04-03-2024,70,3991,Investments,4869974.02,552155.53,4317818.49,99.73
Branch_5,North,25-01-2024,16,2249,Investments,3316629.47,1709578.21,1607051.26,79.45
Branch_19,East,26-04-2023,119,3147,Deposits,724876.61,2163827.44,-1438950.83,80.96
Branch_16,West,13-08-2023,34,2300,Credit Cards,2280785,1325233.88,955551.12,81.55
Branch_12,East,30-05-2024,119,4132,Investments,2861521.61,2078582.91,782938.7,64.3
Branch_10,East,20-04-2024,83,4314,Loans,3397866.65,1484209.7,1913656.95,75.31
Branch_4,South,20-02-2023,111,7014,Loans,4078114.48,2267930.17,1810184.31,72.55
Branch_14,Central,08-06-2023,80,4816,Deposits,3959573.76,268598.54,3690975.22,61.85
Branch_19,Central,18-10-2023,91,6961,Loans,3717540.68,3595232.61,122308.07,95.62
Branch_17,West,12-07-2024,115,3899,Credit Cards,4479153.34,3511623.48,967529.86,75.48
Branch_15,West,26-06-2024,70,3042,Insurance,2016818.9,2248272.46,-231453.56,71.15
Branch_15,West,08-08-2024,19,702,Insurance,4115067.8,598641.03,3516426.77,77.28
Branch_18,South,21-01-2023,110,4115,Loans,1149519.41,3332151.44,-2182632.03,67.32
Branch_16,North,19-03-2023,55,3500,Insurance,4815800.91,2291307.5,2524493.41,82.14
Branch_19,Central,05-08-2023,31,611,Deposits,2856858.8,2959134.08,-102275.28,85.69
Branch_5,Central,13-04-2024,100,4859,Investments,961079.25,617972.89,343106.36,90.14
Branch_7,South,11-01-2024,56,2390,Insurance,3816385.03,920320.5,2896064.53,75.4
Branch_7,South,12-07-2024,90,5202,Investments,4509304.68,2988897.08,1520407.6,95.22
Branch_16,South,12-02-2024,44,7063,Insurance,4416400.26,1471621.43,2944778.83,61
Branch_15,North,29-03-2023,112,6298,Investments,4086227.53,2343963.26,1742264.27,99.45
Branch_14,South,11-07-2023,113,4843,Insurance,1982095.86,572921.56,1409174.3,86.79
Branch_7,East,19-04-2023,90,1349,Credit Cards,4501861.33,1141708.28,3360153.05,77.2
Branch_4,East,28-10-2023,91,580,Investments,1715407.29,1998925.51,-283518.22,74.31
Branch_10,West,05-07-2023,77,3379,Investments,1418832.84,3185293.44,-1766460.6,86.51
Branch_5,West,09-05-2024,79,2443,Deposits,4859230.38,1410216.95,3449013.43,77.19
Branch_17,South,20-08-2024,37,3954,Loans,2306445.43,1169353.07,1137092.36,71.15
Branch_14,Central,03-07-2024,120,2740,Loans,4862370.94,2494921.22,2367449.72,65.78
Branch_14,South,02-10-2023,22,6662,Credit Cards,778444.95,1742183.67,-963738.72,62.59
Branch_9,North,20-04-2023,37,3010,Insurance,4792639.76,3148566.5,1644073.26,61.74
Branch_14,South,10-03-2023,114,1434,Loans,581496.36,3838468.54,-3256972.18,77.19
Branch_5,West,15-07-2023,83,6539,Deposits,2280748.64,3487859.51,-1207110.87,80.15
Branch_20,East,13-12-2023,40,6828,Credit Cards,1653469.67,2167557.29,-514087.62,78.09
Branch_11,Central,22-10-2023,57,4896,Credit Cards,3425236.69,1117418.28,2307818.41,79.16
Branch_16,Central,05-03-2023,41,1380,Credit Cards,4779650.93,284528.19,4495122.74,67.08
Branch_8,Central,09-03-2024,39,1144,Credit Cards,1368026.53,2506060.38,-1138033.85,84.36
Branch_16,East,17-01-2024,43,7656,Deposits,2273048.69,3643671.35,-1370622.66,97.45
Branch_5,West,27-03-2023,86,3380,Deposits,1064179.05,1309215.75,-245036.7,78.88
Branch_7,North,13-07-2023,58,1689,Credit Cards,4688665.82,3107565.22,1581100.6,85.82
Branch_16,West,20-06-2024,84,6995,Investments,3847412.2,1604264.79,2243147.41,89.84
Branch_9,East,08-03-2024,81,1554,Insurance,1815305.32,3369057.58,-1553752.26,66.98
Branch_11,North,14-02-2023,110,1208,Deposits,3437739.71,1321473.19,2116266.52,78.02
Branch_8,South,30-08-2023,114,7542,Loans,3840346.54,1633002.98,2207343.56,88.63
Branch_1,West,09-01-2024,33,7244,Loans,3143312.73,3208141.54,-64828.81,64.19
Branch_20,North,15-08-2024,85,589,Investments,3942446.79,2473281.71,1469165.08,65.88
Branch_2,North,28-12-2023,32,4507,Loans,3453876.29,3675370.33,-221494.04,93.15
Branch_14,North,30-11-2023,88,7559,Investments,1521198.48,1776040.12,-254841.64,74.86
Branch_10,South,03-11-2023,109,5831,Investments,1505096.2,1819588.69,-314492.49,98.32
Branch_14,West,19-01-2024,18,3681,Deposits,1488770.62,3855691.12,-2366920.5,68.2
Branch_3,Central,12-08-2024,80,2566,Loans,1020576.86,3909191.8,-2888614.94,82.12
Branch_19,West,18-06-2024,27,7187,Insurance,2113263.58,2432691.9,-319428.32,80.55
Branch_16,West,20-02-2024,118,1782,Credit Cards,2290268.68,3384922.43,-1094653.75,77.62
Branch_13,South,04-04-2024,20,5370,Investments,826286.27,3536131.62,-2709845.35,92.64
Branch_12,North,12-05-2023,32,7034,Deposits,1505171.94,3016489.43,-1511317.49,72.11
Branch_7,South,21-11-2023,32,1238,Insurance,2162851.29,2575521.44,-412670.15,89.02
Branch_6,East,20-09-2023,78,6807,Deposits,983141.63,2843533.74,-1860392.11,98.46
Branch_6,East,19-07-2023,27,7566,Credit Cards,508684.85,2798222.5,-2289537.65,90.03
Branch_2,North,06-04-2023,111,6465,Loans,3369385.07,521667.36,2847717.71,67.26
Branch_4,East,18-02-2023,83,736,Investments,4983349.84,628018.77,4355331.07,92.22
Branch_8,West,11-03-2024,75,2400,Credit Cards,3951941.38,3833536.79,118404.59,84.99
Branch_20,East,12-06-2024,74,1468,Deposits,2062431.03,3139581.79,-1077150.76,92.56
Branch_20,East,03-04-2024,83,5455,Loans,3889226.48,1819565.06,2069661.42,93.04
Branch_4,West,30-03-2023,39,1754,Deposits,1248365.62,1395958.92,-147593.3,72.66
Branch_12,North,09-10-2023,84,4814,Investments,1127333,2333982.03,-1206649.03,61.79
Branch_14,Central,03-10-2023,46,6855,Deposits,1532817.27,2969033.7,-1436216.43,98.27
Branch_10,Central,16-05-2023,79,6740,Insurance,3144403.05,714448.25,2429954.8,82.25
Branch_4,East,24-02-2023,114,891,Deposits,613792.25,2760737.54,-2146945.29,83.16
Branch_10,East,02-04-2023,32,5499,Insurance,1375251.6,3468241.6,-2092990,71.67
Branch_18,North,08-08-2024,23,3528,Loans,3303034.67,2715959.08,587075.59,67.9
Branch_15,North,18-01-2024,51,6211,Insurance,3066367.8,2596108.38,470259.42,60.36
Branch_5,Central,03-02-2023,61,6065,Insurance,3187716.99,781036.76,2406680.23,97.11
Branch_19,West,26-04-2023,90,2633,Credit Cards,1864739.97,796270.66,1068469.31,62.11
Branch_20,West,07-05-2024,70,3346,Loans,1625433.83,2362398.47,-736964.64,74.77
Branch_8,West,17-06-2024,72,4863,Loans,2660880.18,1328897.89,1331982.29,89.3
Branch_16,East,07-07-2023,15,7176,Insurance,4173591.59,3812431.13,361160.46,79.11
Branch_19,South,29-06-2023,64,2931,Loans,3934154.87,2750384.52,1183770.35,71.87
Branch_10,Central,22-05-2024,94,6572,Investments,4377012.42,2406983.52,1970028.9,82.82
Branch_20,East,24-03-2024,78,5192,Credit Cards,4031114.54,2019104.49,2012010.05,85.11
Branch_3,East,10-07-2023,43,6344,Deposits,4699374.28,2217095.93,2482278.35,89.47
Branch_2,Central,12-08-2023,106,5150,Insurance,1735499.31,3499567.47,-1764068.16,62.06
Branch_18,East,24-12-2023,39,4355,Deposits,2451737.65,3104515.2,-652777.55,87.54
Branch_15,North,10-01-2024,41,5212,Insurance,4009097.49,1722067.7,2287029.79,60.81
Branch_20,North,16-02-2023,37,4172,Credit Cards,3926032.45,3706307.49,219724.96,77.65
Branch_20,North,18-01-2024,98,7473,Investments,1551389.85,903045.03,648344.82,92.51
Branch_16,East,03-08-2024,77,4704,Investments,2633634.05,2716882.72,-83248.67,64.08
Branch_8,East,13-01-2024,58,1994,Investments,1093050.47,1182117.33,-89066.86,99.22
Branch_7,East,15-01-2023,103,7766,Insurance,1174331.22,3200643.44,-2026312.22,72.95
Branch_6,East,28-03-2023,66,3186,Deposits,1777462.17,433937.57,1343524.6,69.22
Branch_16,East,12-11-2023,113,3083,Insurance,4489703,2310092.46,2179610.54,72.07
Branch_5,West,17-06-2023,53,2813,Credit Cards,3111680.58,3390378.25,-278697.67,88.42
Branch_14,South,10-12-2023,54,7174,Investments,2034540.09,524988.12,1509551.97,91.15
Branch_8,South,23-12-2023,25,6047,Investments,4391825.41,2158908.46,2232916.95,60.06
Branch_18,West,07-10-2023,110,6519,Loans,941907.47,548885.53,393021.94,67.98
Branch_2,West,08-07-2023,104,5958,Credit Cards,3811766.81,3170617.83,641148.98,75.02
Branch_5,Central,01-07-2024,33,2813,Credit Cards,1350152.61,2754759,-1404606.39,81.91
Branch_13,East,12-05-2024,27,2246,Insurance,4099429.29,1722430.68,2376998.61,97.97
Branch_5,East,16-04-2023,22,3550,Credit Cards,3617974.19,2202964.18,1415010.01,83.49
Branch_5,South,30-07-2024,41,2146,Credit Cards,2416261.77,1889765.11,526496.66,76.28
Branch_13,Central,08-12-2023,69,854,Credit Cards,2647600.89,3360670.33,-713069.44,66.67
Branch_15,East,19-03-2024,73,3967,Loans,2948743.83,516900.91,2431842.92,90.74
Branch_19,West,12-02-2023,112,5885,Loans,4097537.83,3923818.78,173719.05,97.9
Branch_11,South,22-03-2024,87,7016,Investments,1436913.54,3794518.88,-2357605.34,78.67
Branch_17,South,28-03-2024,115,1478,Investments,2705707.01,1522479.04,1183227.97,79.85
Branch_2,South,02-08-2024,47,6032,Loans,1582138.38,809207.31,772931.07,65.92
Branch_7,North,07-04-2024,84,1268,Insurance,4937120.58,1481413.14,3455707.44,61.46
Branch_19,North,07-04-2024,15,1030,Deposits,1110446.15,3806311.35,-2695865.2,71.52
Branch_3,North,02-01-2023,78,1048,Insurance,3243073.2,1533775.42,1709297.78,76.6
Branch_5,West,13-10-2023,23,2477,Credit Cards,4752726.08,1432036.79,3320689.29,69.36
Branch_7,East,22-05-2024,66,5887,Loans,3898810.01,1795365.77,2103444.24,65.72
Branch_9,South,15-07-2024,67,3054,Loans,2566802.11,1753680.19,813121.92,87.78
Branch_17,East,30-04-2023,99,4823,Loans,4323453.95,3068418.24,1255035.71,65.06
Branch_19,East,03-07-2023,99,3332,Insurance,3963882.8,1714108.56,2249774.24,78.32
Branch_13,South,02-07-2024,85,4431,Deposits,907578.97,258027.94,649551.03,67.46
Branch_17,North,21-04-2024,15,5300,Investments,1597399.39,2921141.44,-1323742.05,86.69
Branch_20,West,25-08-2023,16,4216,Investments,2280265.64,2821060.82,-540795.18,76.66
Branch_15,West,28-06-2024,36,4069,Credit Cards,2140805.59,3191452.3,-1050646.71,92.29
Branch_4,East,04-01-2024,21,4857,Insurance,4341320.71,230386.13,4110934.58,88.6
Branch_9,North,23-01-2023,80,541,Insurance,4569126.35,1936428.35,2632698,73.31
Branch_14,Central,09-01-2024,97,1614,Credit Cards,2681151.36,2656795.67,24355.69,75.32
Branch_1,South,20-05-2023,98,3974,Credit Cards,1608604.68,360831.71,1247772.97,91.02
Branch_1,Central,13-01-2024,67,6787,Investments,3242980.65,2847931.82,395048.83,60.86
Branch_2,North,21-11-2023,64,4669,Investments,1363728.68,1945697.51,-581968.83,86.48
Branch_17,South,16-02-2024,87,1161,Credit Cards,1845874.78,3359063.49,-1513188.71,84.18
Branch_8,East,01-04-2024,94,5382,Investments,2366462.12,3842990.55,-1476528.43,78.37
Branch_3,North,26-08-2023,96,2825,Credit Cards,4304688.08,1458269.99,2846418.09,84.99
Branch_5,North,22-04-2024,102,7365,Investments,1977839.62,3672094.49,-1694254.87,63.47
Branch_2,North,18-09-2023,66,1494,Deposits,986466.46,900661.45,85805.01,71.11
Branch_1,East,12-01-2023,53,4432,Insurance,1936738.2,217383.19,1719355.01,89.85
Branch_16,East,25-03-2023,104,7555,Loans,3396735.29,3221354.41,175380.88,72.84
Branch_6,Central,27-12-2023,72,3458,Investments,3366146.58,1939985.02,1426161.56,78.48
Branch_14,Central,02-07-2024,46,4771,Deposits,3253891.44,2446063.81,807827.63,69.93
Branch_9,North,06-03-2023,62,2133,Credit Cards,3846710.26,726314.77,3120395.49,62.45
Branch_14,South,02-03-2024,111,4097,Investments,1675032.12,3998530.3,-2323498.18,66.31
Branch_2,West,18-07-2023,84,3896,Loans,2913863.5,2222095.77,691767.73,67.36
Branch_20,North,05-08-2023,50,2429,Loans,1638616.3,2526944.07,-888327.77,69.68
Branch_19,East,12-09-2023,106,6503,Credit Cards,3013304.41,2652475.03,360829.38,85.62
Branch_6,West,18-07-2023,33,7686,Loans,1455957.26,3815948.81,-2359991.55,84.91
Branch_14,South,30-01-2024,88,4471,Deposits,2243593.98,2934407.55,-690813.57,70.05
Branch_1,Central,24-03-2024,102,7879,Investments,3590125.52,3131733.72,458391.8,67.17
Branch_6,South,09-09-2023,118,7909,Investments,4659214.94,1683812.94,2975402,96.79
Branch_17,South,29-09-2023,18,6195,Loans,4099789.35,1425051.43,2674737.92,71.56
Branch_7,North,08-02-2023,105,848,Loans,3421676.83,3499319.3,-77642.47,78.01
Branch_15,North,19-03-2023,33,1745,Investments,3128876.69,1535113.64,1593763.05,95.8
Branch_20,South,13-01-2023,19,1760,Insurance,3578757.66,2009227.06,1569530.6,61.79
Branch_16,South,21-02-2024,16,6924,Insurance,3525572.12,2068629.43,1456942.69,84.3
Branch_18,South,07-04-2023,62,7885,Insurance,945987.82,2065447.81,-1119459.99,90.65
Branch_19,North,13-10-2023,74,5243,Insurance,4552571.64,651900.68,3900670.96,91.84
Branch_3,West,18-10-2023,90,4413,Credit Cards,626580.14,1785626.13,-1159045.99,97.06
Branch_1,West,06-07-2023,46,3774,Credit Cards,2531941.29,1068038.3,1463902.99,81.34
Branch_1,Central,08-02-2023,24,815,Credit Cards,1929613.16,3791413.94,-1861800.78,76.46
Branch_7,North,15-01-2024,78,717,Investments,4944880.39,2024328.3,2920552.09,91.42
Branch_14,North,25-01-2023,65,1546,Insurance,2071241.03,1438964.76,632276.27,93.59
Branch_2,Central,03-08-2023,76,7451,Loans,2625044.95,3352535.19,-727490.24,60.81
Branch_20,North,13-03-2024,103,6681,Insurance,764786.83,186626.89,578159.94,69.04
Branch_7,Central,22-05-2024,80,4901,Insurance,1297033.64,755414.85,541618.79,88.98
Branch_17,North,27-05-2024,24,4610,Deposits,2743034.15,3783655.34,-1040621.19,73.11
Branch_14,West,27-03-2023,50,3925,Deposits,1904972.5,1966416,-61443.5,89.82
Branch_2,Central,27-07-2023,90,968,Loans,3606575.73,2064406.01,1542169.72,97.44
Branch_3,East,30-06-2024,45,2781,Deposits,2343896.01,3590871.53,-1246975.52,81.68
Branch_12,Central,17-06-2023,85,5799,Insurance,934497.07,3150302.4,-2215805.33,63.08
Branch_14,Central,30-06-2024,71,2381,Insurance,2528877.82,1999340.84,529536.98,96.04
Branch_18,South,02-07-2023,100,4111,Insurance,1686052,819463.86,866588.14,96.41
Branch_7,Central,25-05-2024,98,3587,Deposits,1367673.27,1650444.06,-282770.79,75.94
Branch_20,West,01-02-2023,70,4079,Investments,4770730.35,1902265.87,2868464.48,82.07
Branch_9,West,10-10-2023,63,3685,Credit Cards,4229127.05,1208022.77,3021104.28,68.4
Branch_19,East,01-09-2023,118,3433,Loans,1135195.7,822849.68,312346.02,89.52
Branch_4,Central,18-04-2023,54,5229,Credit Cards,1321643.16,1776648.59,-455005.43,95.67
Branch_4,West,09-04-2024,15,3774,Deposits,4676950.25,1013587.29,3663362.96,85.43
Branch_6,Central,10-01-2024,75,7328,Insurance,3641410.44,1652986.07,1988424.37,82.8
Branch_13,West,19-09-2023,77,6915,Deposits,3075270.01,2053045.74,1022224.27,84.14
Branch_4,East,23-10-2023,27,5087,Deposits,4389448.1,2455035.77,1934412.33,88.37
Branch_10,Central,30-03-2024,51,4476,Investments,4677771.42,1491308.25,3186463.17,80.17
Branch_18,West,28-10-2023,18,6461,Credit Cards,3578741.36,141402.58,3437338.78,75.31
Branch_20,Central,29-01-2024,90,4868,Loans,2044919.29,317028.99,1727890.3,92.16
Branch_4,East,28-04-2024,84,1648,Loans,3839876.83,2738263.84,1101612.99,71.35
Branch_19,East,13-01-2024,117,3381,Insurance,4831074.68,1534059.55,3297015.13,81.66
Branch_15,West,04-01-2024,19,7260,Deposits,2289482.76,1241944.85,1047537.91,87.35
Branch_5,South,05-03-2023,113,3097,Investments,3322325.25,1821203.46,1501121.79,94.83
Branch_18,East,08-04-2023,82,4091,Insurance,4087662.91,923383,3164279.91,96.14
Branch_13,West,21-07-2023,38,5921,Deposits,1541992.64,3215830.58,-1673837.94,81.88
Branch_7,Central,26-06-2023,109,6839,Insurance,3997031.03,2385934.55,1611096.48,72.95
Branch_14,Central,15-08-2024,46,6578,Credit Cards,4082613.72,2280386.59,1802227.13,92.38
Branch_7,East,05-09-2023,83,5115,Credit Cards,2296388.22,923927.26,1372460.96,88.17
Branch_13,North,26-07-2023,31,6701,Loans,3870311.86,3767606.2,102705.66,67.14
Branch_2,North,15-02-2024,17,1238,Investments,1606890.4,3829420.65,-2222530.25,78.66
Branch_11,Central,29-05-2024,78,4458,Loans,2147507.45,2412069.85,-264562.4,68.26
Branch_18,Central,15-01-2023,39,6355,Deposits,1069075.08,2805139.11,-1736064.03,65.75
Branch_16,South,19-02-2024,54,3083,Insurance,4751135.81,3923709.67,827426.14,76
Branch_14,East,13-11-2023,98,2979,Credit Cards,1667935.78,1875075.55,-207139.77,63.91
Branch_4,South,14-02-2024,59,4764,Deposits,1783556.29,3871325.7,-2087769.41,99.69
Branch_15,North,17-04-2023,46,4736,Deposits,1201490.62,1368012.64,-166522.02,80.73
Branch_20,West,22-04-2023,47,3242,Investments,1985814.99,136721.19,1849093.8,95.69
Branch_16,Central,31-07-2024,72,6444,Deposits,1695824.16,2132202.41,-436378.25,88.85
Branch_14,South,28-12-2023,27,1058,Deposits,4747013.13,1709860.56,3037152.57,69.84
Branch_17,South,27-04-2023,48,4156,Credit Cards,1098361.14,2531325.22,-1432964.08,68.4
Branch_1,South,30-06-2023,54,5518,Investments,1130317.98,3958707.36,-2828389.38,63.32
Branch_15,South,27-05-2023,46,5071,Deposits,615193.72,3490858.65,-2875664.93,83.52
Branch_14,East,10-01-2023,54,5280,Insurance,3233209.46,2483476.08,749733.38,89.27
Branch_8,West,09-04-2024,83,5103,Investments,2158136.1,587862.31,1570273.79,88.6
Branch_18,Central,13-04-2024,67,4994,Deposits,549192.77,3349231.95,-2800039.18,63.96
Branch_17,Central,16-03-2023,91,7416,Insurance,3367679.94,3151304.04,216375.9,82
Branch_11,South,30-05-2023,75,1480,Deposits,2555798.38,3454790.66,-898992.28,96.46
Branch_2,North,01-02-2024,85,1684,Loans,1085901.77,3110970.58,-2025068.81,66.18
Branch_9,South,24-04-2024,96,6555,Insurance,623985.62,2249276.79,-1625291.17,91.21
Branch_3,North,07-09-2023,95,1484,Credit Cards,3516204.95,1536929.3,1979275.65,92.47
Branch_6,East,26-09-2023,114,1198,Loans,3367915.51,2195653.47,1172262.04,98.42
Branch_14,East,10-10-2023,70,6879,Credit Cards,1302342.33,1962675.98,-660333.65,76.94
Branch_1,Central,12-08-2023,49,5906,Insurance,1259688.54,1682307.29,-422618.75,89.95
Branch_9,South,26-03-2024,39,6378,Credit Cards,3047000.52,3122485.74,-75485.22,90.03
Branch_16,East,25-01-2023,36,5193,Credit Cards,1267158.85,2089562.05,-822403.2,66.98
Branch_5,Central,08-01-2023,83,4814,Deposits,3455613.1,1927059.89,1528553.21,60.92
Branch_18,East,26-08-2023,120,4656,Credit Cards,2473665.35,1567354.82,906310.53,74.37
